Structure_id,Urban,Year,Lanes_on,AverageDaily,Historic,Material,Spans,Length,Width,Trucks_percent
142460001509686,Urban,2018,1,10000,Not historic,Concrete,2,76.5,8.5,1
150150245202136,Urban,1992,2,47750,Not historic,Concrete,1,78.6,11.3,9
051850016801077,Rural,1994,2,2440,Not historic,Concrete,1,42.7,11.3,29
011170000913462,Rural,2011,2,22000,Not historic,Concrete,1,80.2,13.9,17
022200226602032,Urban,1981,4,83470,Not historic,Concrete,1,74.7,21.3,5
131580269701002,Urban,1973,2,2290,Possible,Concrete,3,37.2,14.4,8
150150B28105001,Urban,1979,4,9740,Not historic,Concrete,7,79.6,13.4,0
111740280802002,Rural,1994,2,600,Not historic,Concrete,4,48.8,9.1,6
210310C01925001,Urban,1988,2,6080,Not historic,Concrete,3,21.3,9.8,2
161490007307248,Rural,1980,2,12030,Not historic,Concrete,2,124.1,11.6,28
150150B35547002,Urban,2016,2,400,Not historic,Concrete,7,131.7,8.5,0
102120049504051,Rural,1961,2,2600,Possible,Steel,4,86.6,8.5,12
081280136001004,Rural,1954,2,310,Possible,Concrete,4,36.6,6.9,19
111140033502020,Rural,1957,2,2940,Possible,Concrete,20,185,8.2,22
252420027512062,Rural,1968,2,180,Possible,Concrete,3,88.4,7.9,30
162050105203038,Rural,1980,2,960,Not historic,Concrete,5,46.3,12.2,13
160130010102098,Rural,2008,2,1770,Not historic,Concrete,5,118.9,11.6,24
121020B67129002,Urban,1988,2,8000,Not historic,Concrete,5,107.9,7.3,1
050960006706095,Rural,1981,2,6110,Not historic,Concrete,2,61,11.4,17
100370AA1816102,Rural,1940,1,50,Possible,Steel,1,7.6,5.5,0
102340049503108,Rural,1962,2,20,Possible,Steel,4,66.1,7.1,5
140110118602012,Rural,1955,2,2500,Possible,Concrete,3,27.4,6.9,11
180570044202414,Urban,2017,7,52700,Not historic,Concrete,4,873.6,29.6,10
150950053501023,Urban,1966,2,15280,Possible,Concrete,1,42.7,12.2,24
150150B05270001,Urban,1952,4,17790,Possible,Concrete,4,36.6,13.3,13
230250B01270001,Urban,1941,2,5000,Register,Steel,5,27.7,11,0
090140001507549,Rural,2015,4,4800,Not historic,Concrete,2,53,15.7,0
010920051001008,Rural,1956,2,450,Possible,Concrete,3,27.4,7.8,14
240720B39600001,Urban,1974,2,5030,Possible,Concrete,1,16.5,10.9,3
031690001302005,Rural,2007,2,1960,Not historic,Concrete,3,54.9,14,26
150150007308197,Urban,1969,1,3262,Possible,Steel,8,305.7,7.5,0
150150FF0610001,Urban,1950,2,680,Possible,Concrete,5,39.6,7.9,0
231670AA0125001,Rural,1954,1,100,Possible,Steel,2,8.8,4.6,0
201240AA0225001,Rural,2003,2,110,Not historic,Concrete,2,24.4,9.1,0
121020325604359,Urban,1997,4,11950,Not historic,Concrete,3,97.5,19,6
121020050003175,Urban,1976,2,4000,Possible,Concrete,1,23.8,7.3,7
170940031503053,Rural,1955,2,6730,Possible,Concrete,13,120.1,8.5,4
130760080703019,Rural,1984,2,780,Not historic,Concrete,1,54.9,10.3,10
180710017208185,Urban,1995,2,12550,Not historic,Concrete,3,27.7,13.2,17
121020B26105002,Urban,1945,4,15100,Possible,Concrete,3,22.9,13.4,0
091610025809075,Urban,1963,2,9540,Possible,Concrete,4,48.8,11.7,8
180570019603458,Urban,2004,2,10000,Not historic,Steel,4,1063.1,10.7,0
240720016701030,Urban,1973,1,9410,Possible,Concrete,5,107.6,9.1,5
170820067502159,Rural,1970,2,13030,Possible,Concrete,7,106.7,12,29
121020B21912004,Urban,1986,2,4000,Not historic,Concrete,3,34.1,7.3,0
151330336201001,Urban,1982,5,6610,Not historic,Concrete,4,85.3,21.3,8
130080027108715,Rural,2017,4,6673,Not historic,Concrete,4,100.1,20.7,6
022490001308069,Rural,1990,2,4700,Not historic,Concrete,2,56.4,12.2,11
011130064104025,Rural,1996,2,500,Not historic,Concrete,1,16.8,9,9
180710026101083,Rural,1993,2,9000,Not historic,Concrete,1,57.9,11.9,17
121020050003282,Urban,1985,1,21260,Not historic,Concrete,3,105.8,6.1,7
021120078002001,Rural,1957,2,310,Possible,Steel,3,94.8,7.2,15
111740AA0929001,Rural,1997,2,55,Not historic,Steel,1,7.3,7.2,0
090500121902001,Rural,1951,2,130,Possible,Concrete,3,22.9,5.9,3
022490AA0372001,Rural,1996,2,392,Not historic,Steel,1,14,7.3,0
121700351007236,Urban,2016,2,500,Not historic,Concrete,8,270.7,7.9,0
132410083801017,Rural,1961,2,2940,Possible,Concrete,3,22.9,11.3,5
151330154401003,Rural,1972,2,1550,Possible,Concrete,3,23.5,14.9,4
121020325601168,Urban,1990,4,15000,Not historic,Concrete,1,80.5,20.9,7
072180016002057,Rural,1960,2,1340,Possible,Concrete,7,64.6,12.1,24
090500023102060,Urban,1975,3,18170,Possible,Concrete,1,62.5,19.5,6
1805709B8240009,Urban,1960,3,5130,Possible,Concrete,3,31.4,9.1,0
010750AA0511002,Rural,2008,2,10,Not historic,Concrete,1,12.2,7.3,0
102120AA0313101,Rural,1955,2,350,Possible,Steel,1,8.5,6.7,2
030490AA0196002,Rural,1993,1,20,Not historic,Steel,2,37.5,4.9,0
161780B01070001,Urban,1960,2,1810,Possible,Concrete,2,13.4,7.2,0
232060028906032,Rural,1937,2,1030,Possible,Concrete,7,64,13.4,10
150150052104261,Urban,1988,3,34480,Not historic,Concrete,1,42.7,16.5,16
120200AA0110001,Rural,2003,2,110,Not historic,Concrete,1,86.9,8.5,0
120200AA0853001,Rural,2010,2,100,Not historic,Concrete,3,33.5,8.3,2
161490044701152,Rural,2008,2,1900,Not historic,Concrete,10,182.9,11.5,34
142270B02017001,Urban,1985,6,42900,Not historic,Concrete,1,41.8,22.6,0
142270044006119,Urban,2008,2,5000,Not historic,Concrete,3,97.5,12.1,7
181300045102003,Rural,1936,2,7510,Possible,Steel,6,52.1,10.1,14
150950053501056,Urban,1967,3,16110,Possible,Concrete,3,48.8,15.2,23
232150AA0303001,Rural,1965,1,50,Possible,Steel,3,16.8,3.7,2
201010006505090,Urban,1965,2,6760,Possible,Steel,5,76.2,11.4,12
181300AA0449002,Rural,1950,1,103,Possible,Steel,1,9.4,4.9,0
011390068802037,Rural,2004,2,510,Not historic,Concrete,1,22.9,8.9,8
031690001305037,Urban,1972,2,1700,Possible,Concrete,2,88.4,14.6,5
121020AA9955002,Urban,1991,2,50,Not historic,Concrete,1,16.8,7.2,0
180430AA0367001,Rural,1989,2,10,Not historic,Steel,1,14.9,7.3,0
212140AA0149001,Rural,2005,2,2000,Not historic,Concrete,3,51.8,9.7,0
121020B44185017,Urban,1959,2,10857,Possible,Steel,3,699.8,8.5,0
120200152401059,Urban,1972,3,12500,Possible,Concrete,4,106.7,16.5,9
121020AA2111012,Urban,1990,2,14950,Not historic,Concrete,3,40.5,7.3,2
240720B52360001,Urban,1970,2,3420,Possible,Concrete,1,13.7,11,5
011940018904044,Rural,1973,2,1670,Possible,Concrete,12,292.6,13.4,28
010750AA0167004,Rural,2009,2,80,Not historic,Concrete,1,13.7,7.2,0
1805709A2730001,Urban,1978,4,11100,Not historic,Concrete,6,78.3,13.4,7
1805709F6050001,Urban,1984,2,420,Not historic,Concrete,1,12.2,9.6,3
032520103106018,Rural,1961,2,80,Possible,Concrete,3,36.6,7.3,42
081050015704044,Rural,1971,2,1760,Possible,Concrete,6,55.5,12.7,19
150150052104389,Urban,2009,2,32900,Not historic,Steel,2,1433.5,11.5,3
010750AA0678002,Rural,1998,1,10,Not historic,Steel,1,17.4,4.3,0
120800AA0259001,Urban,2008,2,100,Not historic,Concrete,3,18.3,9.1,0
180710105101014,Urban,1996,2,6610,Not historic,Concrete,1,48.8,14.7,5
171660020406026,Rural,1927,2,6370,Possible,Concrete,10,42.7,12.3,26
1805709F6680005,Urban,1969,3,10090,Possible,Concrete,1,28,10.5,0
240720000202184,Urban,2000,2,21530,Not historic,Concrete,1,57,11.2,3
180430013504091,Rural,1976,2,7770,Possible,Concrete,12,146.3,12.8,9
141060001602430,Urban,2010,2,18990,Not historic,Concrete,1,38.1,12.7,13
131430AA0229001,Rural,1988,1,30,Not historic,Steel,1,13.7,5.2,0
121020027114648,Urban,2012,2,2100,Not historic,Concrete,5,59.4,7.9,14
121020050201058,Urban,1963,4,37540,Possible,Concrete,6,107.9,21.6,10
022200237405232,Urban,1973,5,100100,Possible,Concrete,13,361.8,25.6,8
221360029902024,Rural,1940,2,3040,Possible,Concrete,6,64,14.6,24
180430J00545003,Urban,2007,2,4000,Not historic,Concrete,3,58.5,11.3,1
022200009402087,Urban,1990,2,13500,Not historic,Concrete,4,72.2,12.2,6
150950AA0154003,Rural,2015,2,100,Not historic,Steel,1,13.1,8.5,0
181750AA0508003,Rural,1989,1,31,Not historic,Steel,1,15.2,5.9,0
180570043001044,Urban,1965,7,36080,Possible,Concrete,3,51.8,23.5,6
180570237407454,Urban,2005,1,3000,Not historic,Concrete,6,201.2,7.4,5
140110026504029,Urban,2007,2,22770,Not historic,Concrete,3,65.5,11.6,5
150150225502015,Urban,1981,2,3410,Not historic,Concrete,3,83.8,12.1,9
222400008614191,Urban,2014,1,15800,Not historic,Concrete,3,88.4,8.6,5
080170055803047,Rural,1981,2,360,Not historic,Concrete,3,23.5,8.4,35
151630084902010,Rural,1974,2,6980,Possible,Concrete,6,74.1,13.6,7
221420023701014,Rural,1947,2,7120,Possible,Concrete,1,7.6,10.3,9
210310068401247,Urban,2010,2,10900,Not historic,Concrete,3,27.4,11.4,22
011390013607070,Rural,1942,2,8290,Possible,Concrete,14,98.5,12.6,15
071340014109120,Rural,1975,2,3800,Possible,Concrete,1,42.7,12.8,36
121020325603257,Urban,1994,6,93000,Not historic,Concrete,1,35.1,46.7,0
221590029914079,Rural,2010,2,3782,Not historic,Concrete,2,86.9,13,12
022200G00320001,Urban,1992,2,3270,Not historic,Concrete,4,40.2,11,0
171660AA0212003,Rural,2000,2,40,Not historic,Concrete,1,24.1,8.9,0
202290158401001,Rural,1954,2,560,Possible,Concrete,3,22.9,5.8,9
121020AA2961004,Urban,1993,7,26940,Not historic,Concrete,3,25,25,0
110030017602144,Urban,2014,5,28000,Not historic,Concrete,3,89.9,34.1,12
072260AA0126004,Rural,1930,2,60,Possible,Steel,4,25,6.1,0
222400001803158,Rural,1983,2,9850,Not historic,Concrete,8,64,11.5,21
201240020015135,Urban,1978,2,21130,Not historic,Concrete,2,70.7,11.8,8
011390B01165001,Rural,1972,2,2800,Possible,Concrete,2,18.6,13.4,0
040590AA0259001,Rural,1950,2,50,Possible,Steel,2,15.2,7.3,0
121700351007218,Urban,2016,2,4000,Not historic,Concrete,1,54.9,11.6,5
011170000913161,Rural,1958,2,21370,Possible,Concrete,1,30.8,12.2,11
081680000601266,Rural,1962,2,1120,Possible,Steel,4,121.9,8.5,10
140110026513114,Rural,2008,2,6830,Not historic,Concrete,10,358.1,13.4,15
180430101404391,Rural,2016,2,900,Not historic,Concrete,3,54.9,9.8,6
240720B11042001,Urban,1978,2,980,Not historic,Concrete,1,17.1,11,3
022200ZV3900003,Urban,1934,4,4350,Possible,Concrete,1,18.3,18.4,0
150460001605139,Urban,1965,3,53920,Possible,Concrete,3,36.9,18.1,15
181300121703358,Rural,2018,2,2900,Not historic,Concrete,4,91.4,13.2,5
121020AA5775045,Rural,1978,2,8340,Not historic,Concrete,3,54.9,7.3,0
121020AA4210001,Rural,1966,2,931,Possible,Concrete,1,9.4,6.7,1
022200000816326,Rural,1986,2,50,Not historic,Concrete,3,109.7,12.2,5
021840AA2030001,Rural,2000,2,100,Not historic,Concrete,3,61.3,7.6,0
150830027607046,Rural,1957,2,3350,Possible,Concrete,6,55.5,13.3,31
132350AA0192002,Rural,1978,1,90,Not historic,Concrete,1,18,5.6,0
150150001710080,Urban,1952,4,11750,Possible,Concrete,2,32.3,14.3,10
130760AA0396001,Rural,2015,2,50,Not historic,Steel,1,22.9,8.3,0
121020002713295,Urban,2000,2,2240,Not historic,Steel,1,69.8,11,0
121020AA6914001,Rural,1983,2,1000,Not historic,Concrete,2,28,7.3,1
021270AA0525001,Rural,2010,2,50,Not historic,Steel,1,7,7.3,0
240720B03840001,Urban,1968,2,930,Possible,Concrete,1,11,7.3,0
102340AA2405103,Rural,1991,1,40,Not historic,Timber,1,7.3,4.6,0
180710017205111,Urban,1973,2,11920,Possible,Concrete,1,59.4,12.8,15
180710059602292,Rural,2016,2,3400,Not historic,Concrete,4,85.3,13.9,4
022200ZH4150001,Urban,1956,2,770,Possible,Concrete,1,12.8,13.4,0
091610AA0653001,Rural,1974,2,110,Possible,Concrete,2,18.6,6.9,0
180570237403144,Urban,1971,6,19000,Possible,Steel,4,99.1,25.3,10
011390AA0137001,Rural,2003,2,30,Not historic,Steel,1,7.6,6.1,0
022200000815219,Urban,1975,4,500,Possible,Concrete,2,111.3,14.6,1
011170076403014,Rural,1992,2,580,Not historic,Concrete,3,36.6,10.4,5
070530014101108,Rural,1976,2,2960,Possible,Concrete,1,61,12.8,44
180430C01040006,Urban,1991,8,15900,Not historic,Concrete,3,136.6,39,10
151330014212138,Rural,1974,2,5640,Possible,Concrete,1,56.4,12.8,20
180570009214257,Urban,1973,3,34600,Possible,Steel,3,3311.7,17.1,17
111140AA0356001,Rural,1995,1,55,Not historic,Steel,1,12.2,4.5,0
112020006406051,Rural,2006,3,4610,Not historic,Concrete,1,30.5,20.7,18
081680045403024,Rural,1948,2,660,Possible,Concrete,3,24.4,14.6,13
220640030101008,Rural,1925,2,9800,Possible,Concrete,2,13.4,11.2,30
1804309D0470037,Urban,2007,3,10000,Not historic,Concrete,9,297.2,17.1,1
142460AA0415001,Rural,2006,2,100,Not historic,Concrete,1,18.9,8.5,1
091470AA0451002,Rural,1993,1,55,Not historic,Steel,1,12.5,6.1,0
062310007607025,Rural,1931,2,4480,Possible,Concrete,6,52.1,14.5,12
161780B01463002,Urban,1976,2,13330,Possible,Concrete,18,219.5,8.7,0
202290AA0114001,Rural,2009,2,40,Not historic,Concrete,1,15.2,7.3,0
120200018806037,Rural,1984,2,2510,Not historic,Concrete,3,996.4,12,10
241890002008046,Rural,1932,2,1990,Possible,Concrete,6,52.1,13.7,15
142270011402479,Urban,2014,2,10000,Not historic,Concrete,3,169.8,20.5,6
170940B00490001,Urban,1979,2,1750,Not historic,Concrete,3,36.6,10.5,0
130620AA0186002,Rural,2004,1,80,Not historic,Steel,2,12.8,6,0
141440AA0216003,Rural,2011,2,70,Not historic,Steel,2,15.5,6.9,0
022200000816245,Urban,1981,1,8400,Not historic,Concrete,3,93,6.7,4
142460C00080001,Urban,2001,2,1310,Not historic,Concrete,1,15.2,8.5,2
021270001403232,Urban,1965,2,20310,Possible,Concrete,2,51.8,12.2,20
180570019603486,Urban,2018,6,10568,Not historic,Concrete,3,98.8,22.3,32
170260064803016,Rural,1953,2,1680,Possible,Concrete,2,18.3,7.4,13
011390AA0543002,Rural,2008,1,20,Not historic,Steel,1,11,5.9,0
082080AA0134001,Rural,1932,1,100,Possible,Steel,2,13.4,4.4,0
050960006705114,Rural,1982,2,230,Not historic,Concrete,5,202.7,10.1,6
022200036401120,Urban,1986,3,49610,Not historic,Concrete,2,99.1,16.9,6
121020002801036,Urban,2005,2,6070,Not historic,Concrete,6,100.6,13.4,17
142460156601006,Rural,1987,2,1540,Not historic,Concrete,7,153.9,8.5,5
021820C01160001,Urban,1941,2,410,Possible,Concrete,1,7.3,10.7,0
142460AA0397001,Rural,1986,2,335,Not historic,Steel,1,18.6,8,0
130760021106026,Rural,1933,2,8120,Possible,Concrete,4,37.2,12.5,13
022200C03811001,Urban,2000,3,6690,Not historic,Concrete,3,55.8,12.2,0
230680000714013,Rural,1930,2,160,Register,Steel,1,110.9,7.3,18
021270036503012,Rural,1957,2,6600,Possible,Concrete,5,39.9,13.4,17
041070003005030,Rural,1939,2,3130,Possible,Steel,3,36.6,13.4,31
061860044108181,Urban,1983,2,2980,Not historic,Concrete,1,56.4,11.3,33
021840031401076,Rural,1970,2,11160,Possible,Concrete,3,68.6,12.2,27
121020050807301,Urban,2004,2,13390,Not historic,Concrete,3,105.2,13.7,11
121020B68025004,Urban,2004,2,5500,Not historic,Concrete,3,94.2,7.9,0
132350008805203,Urban,2015,6,10640,Not historic,Concrete,6,140.2,34.1,22
041180079106008,Rural,1967,2,1250,Possible,Concrete,12,146.6,10.1,22
151310007205180,Rural,1971,2,9780,Possible,Concrete,1,41.1,12.2,10
240720B65843001,Urban,1974,2,1330,Possible,Concrete,1,18.3,12.1,0
022490AA0302001,Rural,2009,2,180,Not historic,Steel,1,15.2,7.3,0
150150007207119,Urban,1966,2,39540,Possible,Concrete,1,44.2,9.1,9
120800002712302,Urban,2002,12,156030,Not historic,Concrete,3,94.5,56.1,7
111870AA2945001,Urban,2012,2,431,Not historic,Concrete,1,19.8,7.3,0
010920008110194,Rural,1960,2,2680,Possible,Steel,26,1653.8,8.4,18
150150245202094,Urban,1987,6,35860,Not historic,Concrete,2,62.5,24.6,14
240720016704082,Urban,1981,1,2070,Not historic,Steel,3,260,7.6,10
230250210601004,Rural,1957,2,720,Possible,Concrete,2,15.2,7.1,7
201760AA0153003,Rural,2015,2,60,Not historic,Concrete,1,18.9,7.2,0
131580AA0336002,Rural,1988,2,230,Not historic,Concrete,1,12.2,9.2,3
212450AA0111001,Rural,1975,2,35,Possible,Concrete,2,18.6,6.9,0
091610025809063,Urban,1961,3,13540,Possible,Steel,5,62.8,12.1,8
080300012602015,Rural,1927,2,570,Possible,Concrete,5,55.2,8.2,29
121020325602393,Urban,2005,1,11300,Not historic,Steel,3,1436.5,7.9,7
180570009202340,Urban,1999,2,5100,Not historic,Concrete,4,128,13.2,2
170210050601020,Urban,1993,4,17920,Not historic,Concrete,1,54.9,22.9,4
230420045203021,Rural,1960,2,1290,Possible,Steel,3,253,8.4,14
011390AA0130001,Rural,1999,2,100,Not historic,Steel,1,9.1,6.1,0
180430004706455,Urban,2011,1,91260,Not historic,Concrete,19,905.6,7.9,11
170210005002166,Rural,2010,2,12710,Not historic,Concrete,4,100.6,11.1,14
021840AA0323003,Rural,2004,2,3350,Not historic,Concrete,3,29.3,9.1,0
090180322802001,Rural,1950,2,780,Possible,Steel,25,931.2,7.9,22
180610008113093,Urban,1969,2,21940,Possible,Concrete,8,97.5,9.9,7
010750AA0122002,Rural,1990,1,60,Not historic,Steel,1,9.1,5.6,0
180430D00347004,Urban,2006,2,1000,Not historic,Concrete,1,27.4,7.3,0
121020002713179,Urban,1962,3,30800,Possible,Steel,4,68.9,14.6,8
180570237407448,Urban,2001,2,1753,Not historic,Concrete,5,151.8,7.6,0
121020072003194,Urban,1997,4,64590,Not historic,Concrete,3,131.4,21.6,8
070410329101001,Rural,1951,2,60,Possible,Concrete,6,45.7,7.1,10
121020050003261,Urban,1977,3,120870,Not historic,Concrete,4,52.7,18.1,7
142460G00033002,Urban,2004,5,11030,Not historic,Concrete,1,31.7,23.9,2
080300000607291,Rural,1964,2,10250,Possible,Concrete,3,34.7,11.4,29
201240AA0328001,Rural,2010,2,1110,Not historic,Concrete,9,137.2,8.2,0
201810002809254,Urban,2006,3,38810,Not historic,Concrete,4,93.9,16.6,16
051520078301080,Urban,1961,2,6160,Possible,Steel,5,103.6,12,15
072260015802059,Urban,1999,3,15650,Not historic,Concrete,1,51.8,14.7,7
192300064003031,Rural,2000,2,450,Not historic,Concrete,7,160,9.2,28
201010006505103,Rural,1970,2,10510,Possible,Concrete,6,91.4,12.6,10
240720AA7206001,Rural,2011,3,3095,Not historic,Concrete,1,17.7,17,3
052190006702119,Rural,1983,1,390,Not historic,Concrete,2,128,8,20
010750AA0683004,Rural,2007,1,10,Not historic,Steel,1,9.1,4.9,0
